# Correlation function shape: (8, 1, 1, 16, 32)
# Format: [WL_index][pol][qext][gamma][time] value
# Shape dimensions: (WL_indices, polarizations, momentum_transfers, gamma_matrices, time_slices)

 -4.54918619e+01-1.45095302e+02j  2.45443603e+00-3.19867854e+02j
  4.53464273e+02-1.00259992e+03j  1.54763157e+03-3.95323453e+03j
  4.11862244e+03-1.11487233e+04j  1.33019915e+04-3.50658279e+04j
 -1.01935079e+04-1.48015626e+04j -9.41144468e+04+7.72457357e+03j]
WL0_P0_Q0_I: [ 1.35302127e+07-6.65301233e+05j  9.31168719e+06+1.94893095e+06j
  8.60107703e+06+1.39375303e+06j  1.10316479e+07+1.05666055e+06j
  4.31939487e+06-3.46849430e+06j -5.01176695e+05-4.53720886e+05j
 -2.16796011e+05-1.47094863e+05j -4.74784426e+04-6.07094331e+04j
 -1.60554251e+04-1.46686834e+04j -1.21801248e+04-4.46760535e+03j
 -3.33403805e+03-1.55976826e+03j -6.62008469e+02-5.21219507e+02j
 -3.27678710e+02-1.49835655e+02j -7.08972438e+01-2.18850920e+01j
 -6.58403159e+00-1.74707496e+01j  1.11589660e+00-4.74658248e+00j
 -2.85539847e-01-5.35855623e-01j -7.64639587e-01+9.20518511e-02j
 -7.67891741e-01+5.86428805e-01j -6.58732136e-01+4.86427229e-01j
 -1.35297508e-02-6.47448876e-01j  2.70004285e+00-1.91266296e+00j
  1.45074167e+01-5.27241155e+00j  8.75901271e+01+9.42061978e+00j
  1.88535070e+02+9.03923048e+01j  5.15082646e+02-7.93562924e+01j
  1.62603798e+03-1.21211710e+02j -5.30574085e+02+2.10635446e+02j
  4.15408560e+02+1.25706325e+04j  2.37195779e+04+2.29623905e+01j
  9.57819256e+04+4.62216444e+04j  3.35054642e+05-5.30123387e+03j]
WL0_P0_Q0_SXT: [ 7.62362081e+05+3.55080238e+05j  2.17456343e+05+1.74886019e+06j
 -1.08583027e+06+1.64421544e+06j  8.53560699e+05+7.29946075e+04j
  2.48204506e+04-8.66274385e+05j -9.36033420e+04-3.19235915e+05j
 -1.44648052e+05-6.79620190e+04j -4.25566925e+04-2.00196146e+04j
 -1.12217480e+04-2.62814166e+03j -3.78689724e+03-6.77964935e+01j
 -8.80474252e+02+3.39665806e+01j -1.31967223e+02-1.53782435e+01j
 -6.37784047e+00+3.25441498e+01j  1.28979586e+01+3.96421646e+00j
  1.12965490e+01-1.77886436e+00j  4.00933243e+00+4.79001411e-01j
  1.25823669e+00+1.02905256e+00j  2.72255504e-01+3.86953072e-01j
  5.08685592e-02+2.65509068e-01j -6.05733449e-02+1.79082845e-01j
  4.84907986e-02-1.75977481e-01j  2.70315973e-01-9.61338665e-01j
 -1.36929621e+00-9.35697993e-01j -4.40986856e+00-1.49123982e+00j
 -1.13412972e+01+1.85068181e+01j -7.22941745e+01+2.77042771e+02j
 -7.30106746e+02+1.02358941e+03j -1.42762423e+03+3.97231001e+03j
 -2.96482363e+03+9.37457121e+03j -1.16961932e+04+1.45721003e+04j
  3.89258319e+03+5.34774656e+04j  1.22995558e+05+1.29126500e+05j]
WL0_P0_Q0_SXY: [-3.01547048e+06-1.41470574e+06j -2.00764807e+06-1.21701571e+06j
 -1.18552590e+06-7.55252354e+05j -6.09666974e+05+1.78054507e+06j
 -2.69781910e+06+6.02048571e+05j  1.28736077e+05-6.97629208e+04j
  5.21093215e+04+5.16248018e+04j  1.60665781e+04+1.47453693e+04j
  4.50596988e+03+5.48944566e+03j  6.64083222e+02+4.63858901e+02j
  6.85345817e+01-2.08669122e+02j  4.67704959e+01+3.55364876e+01j
  5.03085857e+01+3.02258512e+01j  2.83977088e+01+2.09916612e+01j
  1.33100898e+01+4.81543749e+00j  1.90942708e+00+1.65960390e+00j
 -2.50564746e-01+4.95393319e-01j  6.11024666e-03+8.34483130e-02j
 -3.51305968e-02-4.80029654e-02j  8.15039204e-02-1.79249755e-02j
  1.01648743e-01+2.54920249e-01j  5.95364447e-01+3.84506483e-01j
  3.17596251e+00+2.32862423e+00j  6.22000465e+00-1.00191404e-01j
  5.64976673e+01-1.11075819e+01j  1.29619436e+02-1.07645921e+02j
 -3.15784975e+01-4.74480355e+02j -1.70515537e+03-5.94886170e+02j
 -4.68740433e+03+1.97588270e+02j -1.33718513e+04+3.80679276e+03j
 -1.26918098e+04-2.68274290e+04j  1.73735010e+03-1.94107716e+05j]
WL0_P0_Q0_SXZ: [-8.25277894e+04+1.62379982e+06j  8.20710912e+05-5.19457327e+05j
  2.18560661e+06-6.75540126e+05j  1.66852761e+06-2.06921566e+06j
  5.63874155e+05-7.80767932e+05j -1.12247593e+05-3.63743668e+05j
  1.76435594e+04-9.69885783e+04j  1.61799890e+04-3.74021061e+04j
 -2.13316665e+03-5.18681042e+03j -1.87671478e+03-1.38770734e+03j
 -7.06064183e+02-1.23197904e+02j -1.02898551e+02+7.62607474e+01j
 -2.89287189e+01+6.50535399e+01j  5.15696964e+00+2.13879350e+00j
  2.91640367e+00+5.07500621e+00j -7.87619309e-01+9.94162026e-02j
 -5.27100620e-01-7.37663244e-03j -1.06018175e-01+1.61977127e-01j
 -6.61867278e-02+9.25998844e-02j -8.53115182e-02+1.35713374e-01j
 -9.26035011e-02+4.83305628e-01j -1.87632260e-02+1.60066358e+00j
 -1.09126988e-02+3.15471384e+00j  3.64121613e-01+1.68933385e+01j
  1.47097065e+01+3.06707044e+01j  1.75542550e+02+4.30305191e+01j
  5.45485767e+02+5.91414806e+02j  1.85367446e+03+9.28412076e+02j
  1.35190385e+03+4.35373816e+03j  9.09804123e+03+1.99520603e+04j
  4.21519588e+04-2.75728867e+02j  1.42954582e+05-1.42225273e+05j]
WL0_P0_Q0_SYT: [-2.07468057e+06-8.20524611e+05j -2.28107951e+06-4.56158321e+06j
 -5.40512014e+05-1.98332080e+06j  5.36999874e+04+3.75613943e+05j
  7.75838820e+05-8.20457520e+05j  3.67386473e+05+4.94597528e+05j
  2.71250091e+04+1.63060490e+05j -2.20990530e+04+6.25712078e+04j
 -5.00062079e+03+1.98899160e+04j -2.87806645e+03+7.65006662e+03j
 -1.71802495e+03+1.81232899e+03j -4.21495333e+02+4.55142973e+02j
 -7.22002759e+01+1.16896409e+02j -5.63886649e-01+3.41048300e+01j
 -1.91164358e+00+1.01046318e+01j -8.15675563e-01+3.96809029e+00j
 -4.94296214e-01+3.30851094e-01j -1.97554233e-01+9.38189553e-02j
 -1.46225625e-01+3.39868994e-02j -8.62538685e-02+1.94262946e-01j
  2.96482377e-01+4.27477846e-01j  8.24043685e-01+2.10019327e+00j
  8.25547795e-01+3.46735583e+00j -4.63111165e+00+5.92777265e+00j
 -3.28472000e+01-1.03249656e+01j -6.19773570e+01-9.77145770e+01j
  5.14234853e+02+1.68377353e+02j  2.17613542e+03-7.71175188e+02j
  4.65218144e+03-4.06513275e+03j  1.84798415e+04-2.53285779e+04j
  3.18074812e+04-1.19241586e+05j -1.69901128e+05-4.56548118e+05j]
WL0_P0_Q0_SYZ: [ 3.04165998e+06+1.30038408e+06j  1.86585641e+06+2.41750720e+06j
 -5.55427853e+04+3.65621871e+06j -1.44214456e+06+2.53537766e+06j
 -9.25709720e+05+3.01294834e+06j -3.60233028e+05+1.24565424e+05j
 -1.59461415e+05+2.47026621e+03j -2.56570617e+04-1.00112945e+04j
 -1.15853782e+04-6.40342876e+03j -4.21231403e+03-2.55183530e+03j
 -1.01705844e+03-7.45477520e+02j -4.17028195e+02-2.74706358e+02j
 -1.16742967e+02-7.99853212e+01j -2.34466803e+01-1.39513465e+01j
 -6.60192659e+00-7.48560306e+00j -2.42551790e+00-1.91797791e+00j
 -2.11031511e-01-6.20271604e-01j -3.72029901e-01-9.97894209e-02j
 -3.84964616e-01+1.32651303e-01j -2.45528124e-01+1.69299518e-01j
  6.05387179e-02-4.23427728e-02j  8.12884697e-01-9.00960716e-01j
  2.43904084e+00-3.51864621e+00j  5.51957045e+00-3.38003536e-01j
  4.20213422e+00+4.26932334e+00j  5.19337507e+00-3.64354333e+01j
 -3.53736461e+02-3.08823585e+02j  2.57387206e+02-1.57218003e+03j
 -1.86938319e+02-3.27013308e+03j  1.69661143e+03-2.28416787e+04j
  7.34615297e+03-1.16412843e+05j -1.48177594e+05-1.39693393e+05j]
WL0_P0_Q0_SZT: [-3.04674335e+06-8.63049290e+06j -8.07615946e+05-4.95664059e+06j
  4.80913819e+06-3.47064370e+06j  4.47544475e+06-5.64705681e+06j
  1.33199451e+06-3.76920191e+06j -2.73617165e+05-1.05878619e+05j
 -1.46068689e+05-8.21720552e+04j -4.44559756e+04-2.72728473e+03j
 -1.55745966e+04+1.21019739e+04j -3.49938349e+03+4.96549032e+03j
 -1.13608003e+03+1.07876369e+03j -2.45015518e+02+4.99044786e+02j
 -7.38256836e+01+2.12566179e+02j -2.69840307e+01+6.53619167e+01j
 -3.65894686e+00+2.00237593e+01j -9.87934534e-01+4.65601239e+00j
 -2.74688351e-01+1.45799389e+00j -2.90654363e-01+3.47377153e-01j
 -2.32707595e-01-1.33632699e-02j -2.92278946e-01+3.54435526e-01j
 -2.05642702e-01+1.10705736e+00j -1.63065622e-01+2.94848093e+00j
 -2.47969732e+00+1.14344930e+01j -3.46805490e+01+2.97343689e+01j
 -1.05191453e+02+3.76023911e+01j -2.10707272e+02-2.80759129e+01j
 -3.27602876e+02-1.48674455e+02j -3.46406714e+03-2.15859343e+03j
 -1.52077460e+04-8.52258895e+03j -3.49451869e+04-5.19879913e+04j
 -1.50802122e+05-1.77001067e+05j -4.61991306e+05-1.14545585e+06j]



WL1_P0_Q0_5: [ 1.06989027e+05+2.44894640e+05j -1.20048725e+06+3.01692361e+06j
  1.81058462e+06+2.78836433e+06j  1.14590526e+06+5.87560548e+05j
  1.32803274e+06+4.59805720e+05j  2.16538939e+05-6.49415002e+04j
  3.01278678e+04-5.17193360e+04j  1.04097277e+04-3.26203440e+04j
  5.47795321e+02-1.58559078e+04j -1.71579403e+03-2.61121358e+03j
 -1.08652399e+03-1.08063817e+03j -5.97535928e+02-2.62372467e+02j
 -3.53788062e+02-3.20859332e+01j -1.05327549e+02-2.75851817e+01j
 -3.08650211e+01-3.17984174e+00j -6.40151655e+00-8.41264719e-01j
 -1.51150625e+00-1.33143799e-01j -4.77976936e-01-1.93392972e-01j
 -9.70967933e-02-2.97641540e-01j  1.62730301e-02+1.11489451e-01j
  6.12284879e-01+1.01600101e+00j  3.36212920e+00+2.90675879e+00j
  9.79012672e+00+7.72268458e+00j  2.82795897e+01+4.76813733e+00j
